10km altitude
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
      10.      2000         1         1     12.00    113.05     0.2091E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1740E+19     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
      10.      2001         1         1     12.00    112.98     0.2091E+00     0.5799E-11     0.0000E+00     0.5799E-11     0.1740E+19     0.4825E+08     0.0000E+00     0.4825E+08     0.9654E+02
      10.      2002         1         1     12.00    113.00     0.2091E+00     0.7364E-11     0.0000E+00     0.7364E-11     0.1740E+19     0.6127E+08     0.0000E+00     0.6127E+08     0.1109E+03
      10.      2003         1         1     12.00    113.02     0.2091E+00     0.8466E-11     0.0000E+00     0.8466E-11     0.1740E+19     0.7044E+08     0.0000E+00     0.7044E+08     0.1194E+03
      10.      2004         1         1     12.00    113.04     0.2091E+00     0.9355E-11     0.0000E+00     0.9355E-11     0.1740E+19     0.7783E+08     0.0000E+00     0.7783E+08     0.1249E+03
      10.      2005         1         1     12.00    112.98     0.2091E+00     0.1013E-10     0.0000E+00     0.1013E-10     0.1740E+19     0.8424E+08     0.0000E+00     0.8424E+08     0.1289E+03
      10.      2006         1         1     12.00    113.00     0.2091E+00     0.1082E-10     0.0000E+00     0.1082E-10     0.1740E+19     0.9001E+08     0.0000E+00     0.9001E+08     0.1319E+03
      10.      2007         1         1     12.00    113.02     0.2091E+00     0.1146E-10     0.0000E+00     0.1146E-10     0.1740E+19     0.9531E+08     0.0000E+00     0.9531E+08     0.1343E+03
      10.      2008         1         1     12.00    113.04     0.2091E+00     0.1205E-10     0.0000E+00     0.1205E-10     0.1740E+19     0.1003E+09     0.0000E+00     0.1003E+09     0.1364E+03
      10.      2009         1         1     12.00    112.98     0.2091E+00     0.1261E-10     0.0000E+00     0.1261E-10     0.1740E+19     0.1049E+09     0.0000E+00     0.1049E+09     0.1382E+03
      10.      2010         1         1     12.00    113.00     0.2091E+00     0.1315E-10     0.0000E+00     0.1315E-10     0.1740E+19     0.1094E+09     0.0000E+00     0.1094E+09     0.1397E+03
      10.      2011         1         1     12.00    113.02     0.2091E+00     0.1365E-10     0.0000E+00     0.1365E-10     0.1740E+19     0.1136E+09     0.0000E+00     0.1136E+09     0.1411E+03
      10.      2012         1         1     12.00    113.04     0.2091E+00     0.1414E-10     0.0000E+00     0.1414E-10     0.1740E+19     0.1177E+09     0.0000E+00     0.1177E+09     0.1424E+03
      10.      2013         1         1     12.00    112.98     0.2091E+00     0.1461E-10     0.0000E+00     0.1461E-10     0.1740E+19     0.1216E+09     0.0000E+00     0.1216E+09     0.1436E+03
      10.      2014         1         1     12.00    113.00     0.2091E+00     0.1507E-10     0.0000E+00     0.1507E-10     0.1740E+19     0.1254E+09     0.0000E+00     0.1254E+09     0.1446E+03
      10.      2015         1         1     12.00    113.02     0.2091E+00     0.1551E-10     0.0000E+00     0.1551E-10     0.1740E+19     0.1291E+09     0.0000E+00     0.1291E+09     0.1456E+03
      10.      2016         1         1     12.00    113.04     0.2091E+00     0.1594E-10     0.0000E+00     0.1594E-10     0.1740E+19     0.1327E+09     0.0000E+00     0.1327E+09     0.1464E+03
      10.      2017         1         1     12.00    112.97     0.2091E+00     0.1636E-10     0.0000E+00     0.1636E-10     0.1740E+19     0.1362E+09     0.0000E+00     0.1362E+09     0.1472E+03
      10.      2018         1         1     12.00    112.99     0.2091E+00     0.1678E-10     0.0000E+00     0.1678E-10     0.1740E+19     0.1396E+09     0.0000E+00     0.1396E+09     0.1480E+03
      10.      2019         1         1     12.00    113.01     0.2091E+00     0.1718E-10     0.0000E+00     0.1718E-10     0.1740E+19     0.1429E+09     0.0000E+00     0.1429E+09     0.1487E+03
      10.      2020         1         1     12.00    113.03     0.2091E+00     0.1757E-10     0.0000E+00     0.1757E-10     0.1740E+19     0.1462E+09     0.0000E+00     0.1462E+09     0.1493E+03
      10.      2021         1         1     12.00    112.97     0.2091E+00     0.1796E-10     0.0000E+00     0.1796E-10     0.1740E+19     0.1494E+09     0.0000E+00     0.1494E+09     0.1499E+03
      10.      2022         1         1     12.00    112.99     0.2091E+00     0.1834E-10     0.0000E+00     0.1834E-10     0.1740E+19     0.1526E+09     0.0000E+00     0.1526E+09     0.1505E+03
      10.      2023         1         1     12.00    113.01     0.2091E+00     0.1872E-10     0.0000E+00     0.1872E-10     0.1740E+19     0.1557E+09     0.0000E+00     0.1557E+09     0.1511E+03
      10.      2024         1         1     12.00    113.03     0.2091E+00     0.1908E-10     0.0000E+00     0.1908E-10     0.1740E+19     0.1588E+09     0.0000E+00     0.1588E+09     0.1516E+03
      10.      2025         1         1     12.00    112.97     0.2091E+00     0.1945E-10     0.0000E+00     0.1945E-10     0.1740E+19     0.1618E+09     0.0000E+00     0.1618E+09     0.1521E+03
      10.      2026         1         1     12.00    112.99     0.2091E+00     0.1981E-10     0.0000E+00     0.1981E-10     0.1740E+19     0.1648E+09     0.0000E+00     0.1648E+09     0.1525E+03
      10.      2027         1         1     12.00    113.01     0.2091E+00     0.2016E-10     0.0000E+00     0.2016E-10     0.1740E+19     0.1677E+09     0.0000E+00     0.1677E+09     0.1530E+03
      10.      2028         1         1     12.00    113.03     0.2091E+00     0.2051E-10     0.0000E+00     0.2051E-10     0.1740E+19     0.1706E+09     0.0000E+00     0.1706E+09     0.1534E+03
      10.      2029         1         1     12.00    112.97     0.2091E+00     0.2086E-10     0.0000E+00     0.2086E-10     0.1740E+19     0.1735E+09     0.0000E+00     0.1735E+09     0.1538E+03
      10.      2030         1         1     12.00    112.99     0.2091E+00     0.2120E-10     0.0000E+00     0.2120E-10     0.1740E+19     0.1764E+09     0.0000E+00     0.1764E+09     0.1542E+03
      10.      2031         1         1     12.00    113.01     0.2091E+00     0.2153E-10     0.0000E+00     0.2153E-10     0.1740E+19     0.1792E+09     0.0000E+00     0.1792E+09     0.1546E+03
      10.      2032         1         1     12.00    113.03     0.2091E+00     0.2187E-10     0.0000E+00     0.2187E-10     0.1740E+19     0.1819E+09     0.0000E+00     0.1819E+09     0.1550E+03
