25km altitude
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
      25.      2048         1         1     12.00    113.02     0.2092E+00     0.3652E-05     0.0000E+00     0.3652E-05     0.1600E+18     0.2793E+13     0.0000E+00     0.2793E+13     0.8384E+02
      25.      2048         2         1     12.00    107.12     0.2092E+00     0.3652E-05     0.0000E+00     0.3652E-05     0.1600E+18     0.2793E+13     0.0000E+00     0.2793E+13     0.8384E+02
      25.      2048         3         1     12.00     97.22     0.2092E+00     0.3652E-05     0.0000E+00     0.3652E-05     0.1600E+18     0.2793E+13     0.0000E+00     0.2793E+13     0.8384E+02
      25.      2048         4         1     12.00     85.08     0.2092E+00     0.3613E-05     0.9338E-11     0.3613E-05     0.1600E+18     0.2764E+13     0.7143E+07     0.2764E+13     0.8450E+02
      25.      2048         5         1     12.00     74.62     0.2092E+00     0.3591E-05     0.1212E-10     0.3591E-05     0.1600E+18     0.2747E+13     0.9271E+07     0.2747E+13     0.1074E+03
      25.      2048         6         1     12.00     67.80     0.2092E+00     0.3667E-05     0.1329E-10     0.3667E-05     0.1600E+18     0.2805E+13     0.1017E+08     0.2805E+13     0.1293E+03
      25.      2048         7         1     12.00     66.95     0.2092E+00     0.3796E-05     0.1372E-10     0.3796E-05     0.1600E+18     0.2904E+13     0.1050E+08     0.2904E+13     0.1402E+03
      25.      2048         8         1     12.00     72.23     0.2092E+00     0.3798E-05     0.1275E-10     0.3798E-05     0.1600E+18     0.2905E+13     0.9751E+07     0.2905E+13     0.1333E+03
      25.      2048         9         1     12.00     82.08     0.2092E+00     0.3721E-05     0.1029E-10     0.3721E-05     0.1600E+18     0.2846E+13     0.7874E+07     0.2846E+13     0.1097E+03
      25.      2048        10         1     12.00     93.57     0.2092E+00     0.3652E-05     0.4124E-12     0.3652E-05     0.1600E+18     0.2793E+13     0.3155E+06     0.2793E+13     0.8479E+02
      25.      2048        11         1     12.00    104.74     0.2092E+00     0.3652E-05     0.0000E+00     0.3652E-05     0.1600E+18     0.2793E+13     0.0000E+00     0.2793E+13     0.8384E+02
      25.      2048        12         1     12.00    111.96     0.2092E+00     0.3652E-05     0.0000E+00     0.3652E-05     0.1600E+18     0.2793E+13     0.0000E+00     0.2793E+13     0.8384E+02
