15° latitude
0.15     albedo
60km altitude
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
      60.      2048         6        21      0.00    141.55     0.2092E+00     0.5550E-05     0.0000E+00     0.5550E-05     0.1500E+16     0.3980E+11     0.0000E+00     0.3980E+11     0.4958E+01
      60.      2048         6        21      1.00    139.01     0.2092E+00     0.5550E-05     0.0000E+00     0.5550E-05     0.1500E+16     0.3980E+11     0.0000E+00     0.3980E+11     0.4958E+01
      60.      2048         6        21      2.00    131.93     0.2092E+00     0.5550E-05     0.0000E+00     0.5550E-05     0.1500E+16     0.3980E+11     0.0000E+00     0.3980E+11     0.4958E+01
      60.      2048         6        21      3.00    121.93     0.2092E+00     0.5550E-05     0.0000E+00     0.5550E-05     0.1500E+16     0.3980E+11     0.0000E+00     0.3980E+11     0.4958E+01
      60.      2048         6        21      4.00    110.28     0.2092E+00     0.5550E-05     0.0000E+00     0.5550E-05     0.1500E+16     0.3980E+11     0.0000E+00     0.3980E+11     0.4958E+01
      60.      2048         6        21      5.00     97.69     0.2092E+00     0.5550E-05     0.0000E+00     0.5550E-05     0.1500E+16     0.3980E+11     0.0000E+00     0.3980E+11     0.4958E+01
      60.      2048         6        21      6.00     84.53     0.2092E+00     0.5615E-05     0.4728E-08     0.5610E-05     0.1500E+16     0.4026E+11     0.3390E+08     0.4023E+11     0.4634E+01
      60.      2048         6        21      7.00     71.04     0.2092E+00     0.6174E-05     0.4257E-06     0.5748E-05     0.1500E+16     0.4427E+11     0.3052E+10     0.4122E+11     0.2735E+01
      60.      2048         6        21      8.00     57.36     0.2092E+00     0.7003E-05     0.1839E-05     0.5164E-05     0.1500E+16     0.5021E+11     0.1318E+11     0.3703E+11     0.1436E+01
      60.      2048         6        21      9.00     43.61     0.2092E+00     0.7344E-05     0.2912E-05     0.4432E-05     0.1500E+16     0.5265E+11     0.2088E+11     0.3177E+11     0.1120E+01
      60.      2048         6        21     10.00     29.95     0.2092E+00     0.7421E-05     0.3131E-05     0.4290E-05     0.1500E+16     0.5321E+11     0.2245E+11     0.3076E+11     0.1130E+01
      60.      2048         6        21     11.00     16.89     0.2092E+00     0.7497E-05     0.3219E-05     0.4278E-05     0.1500E+16     0.5376E+11     0.2308E+11     0.3067E+11     0.1126E+01
      60.      2048         6        21     12.00      8.46     0.2092E+00     0.7552E-05     0.3264E-05     0.4288E-05     0.1500E+16     0.5415E+11     0.2340E+11     0.3075E+11     0.1165E+01
      60.      2048         6        21     13.00     16.06     0.2092E+00     0.7560E-05     0.3236E-05     0.4324E-05     0.1500E+16     0.5420E+11     0.2320E+11     0.3100E+11     0.1181E+01
      60.      2048         6        21     14.00     29.03     0.2092E+00     0.7507E-05     0.3148E-05     0.4358E-05     0.1500E+16     0.5382E+11     0.2257E+11     0.3125E+11     0.1230E+01
      60.      2048         6        21     15.00     42.67     0.2092E+00     0.7369E-05     0.3018E-05     0.4351E-05     0.1500E+16     0.5283E+11     0.2164E+11     0.3119E+11     0.1217E+01
      60.      2048         6        21     16.00     56.42     0.2092E+00     0.7110E-05     0.2706E-05     0.4404E-05     0.1500E+16     0.5098E+11     0.1940E+11     0.3158E+11     0.1264E+01
      60.      2048         6        21     17.00     70.11     0.2092E+00     0.6716E-05     0.2165E-05     0.4551E-05     0.1500E+16     0.4815E+11     0.1552E+11     0.3263E+11     0.1354E+01
      60.      2048         6        21     18.00     83.62     0.2092E+00     0.6069E-05     0.8307E-06     0.5238E-05     0.1500E+16     0.4352E+11     0.5956E+10     0.3756E+11     0.1755E+01
      60.      2048         6        21     19.00     96.80     0.2092E+00     0.5550E-05     0.0000E+00     0.5550E-05     0.1500E+16     0.3979E+11     0.0000E+00     0.3979E+11     0.4959E+01
      60.      2048         6        21     20.00    109.45     0.2092E+00     0.5550E-05     0.0000E+00     0.5550E-05     0.1500E+16     0.3979E+11     0.0000E+00     0.3979E+11     0.4959E+01
      60.      2048         6        21     21.00    121.18     0.2092E+00     0.5550E-05     0.0000E+00     0.5550E-05     0.1500E+16     0.3979E+11     0.0000E+00     0.3979E+11     0.4959E+01
      60.      2048         6        21     22.00    131.32     0.2092E+00     0.5550E-05     0.0000E+00     0.5550E-05     0.1500E+16     0.3979E+11     0.0000E+00     0.3979E+11     0.4959E+01
      60.      2048         6        21     23.00    138.66     0.2092E+00     0.5550E-05     0.0000E+00     0.5550E-05     0.1500E+16     0.3979E+11     0.0000E+00     0.3979E+11     0.4959E+01
