-30° latitude
0.13     albedo
10km altitude
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
      10.      2048         6        21      0.00    173.44     0.2091E+00     0.1843E-08     0.0000E+00     0.1843E-08     0.1740E+19     0.1533E+11     0.0000E+00     0.1533E+11     0.4098E+03
      10.      2048         6        21      1.00    165.49     0.2091E+00     0.1843E-08     0.0000E+00     0.1843E-08     0.1740E+19     0.1533E+11     0.0000E+00     0.1533E+11     0.4098E+03
      10.      2048         6        21      2.00    152.92     0.2091E+00     0.1843E-08     0.0000E+00     0.1843E-08     0.1740E+19     0.1533E+11     0.0000E+00     0.1533E+11     0.4098E+03
      10.      2048         6        21      3.00    139.96     0.2091E+00     0.1843E-08     0.0000E+00     0.1843E-08     0.1740E+19     0.1533E+11     0.0000E+00     0.1533E+11     0.4098E+03
      10.      2048         6        21      4.00    127.02     0.2091E+00     0.1843E-08     0.0000E+00     0.1843E-08     0.1740E+19     0.1533E+11     0.0000E+00     0.1533E+11     0.4098E+03
      10.      2048         6        21      5.00    114.28     0.2091E+00     0.1843E-08     0.0000E+00     0.1843E-08     0.1740E+19     0.1533E+11     0.0000E+00     0.1533E+11     0.4098E+03
      10.      2048         6        21      6.00    101.88     0.2091E+00     0.1843E-08     0.0000E+00     0.1843E-08     0.1740E+19     0.1533E+11     0.0000E+00     0.1533E+11     0.4098E+03
      10.      2048         6        21      7.00     90.00     0.2091E+00     0.1843E-08     0.5554E-17     0.1843E-08     0.1740E+19     0.1533E+11     0.4621E+02     0.1533E+11     0.4098E+03
      10.      2048         6        21      8.00     78.92     0.2091E+00     0.1843E-08     0.3016E-16     0.1843E-08     0.1740E+19     0.1533E+11     0.2509E+03     0.1533E+11     0.4084E+03
      10.      2048         6        21      9.00     69.03     0.2091E+00     0.1843E-08     0.3752E-16     0.1843E-08     0.1740E+19     0.1533E+11     0.3122E+03     0.1533E+11     0.4074E+03
      10.      2048         6        21     10.00     60.95     0.2091E+00     0.1843E-08     0.4195E-16     0.1843E-08     0.1740E+19     0.1533E+11     0.3491E+03     0.1533E+11     0.4074E+03
      10.      2048         6        21     11.00     55.49     0.2091E+00     0.1843E-08     0.4457E-16     0.1843E-08     0.1740E+19     0.1533E+11     0.3709E+03     0.1533E+11     0.4077E+03
      10.      2048         6        21     12.00     53.45     0.2091E+00     0.1843E-08     0.4540E-16     0.1843E-08     0.1740E+19     0.1533E+11     0.3778E+03     0.1533E+11     0.4079E+03
      10.      2048         6        21     13.00     55.23     0.2091E+00     0.1843E-08     0.4469E-16     0.1843E-08     0.1740E+19     0.1533E+11     0.3718E+03     0.1533E+11     0.4081E+03
      10.      2048         6        21     14.00     60.49     0.2091E+00     0.1843E-08     0.4216E-16     0.1843E-08     0.1740E+19     0.1533E+11     0.3508E+03     0.1533E+11     0.4080E+03
      10.      2048         6        21     15.00     68.41     0.2091E+00     0.1843E-08     0.3795E-16     0.1843E-08     0.1740E+19     0.1533E+11     0.3158E+03     0.1533E+11     0.4078E+03
      10.      2048         6        21     16.00     78.20     0.2091E+00     0.1843E-08     0.3102E-16     0.1843E-08     0.1740E+19     0.1533E+11     0.2581E+03     0.1533E+11     0.4075E+03
      10.      2048         6        21     17.00     89.22     0.2091E+00     0.1843E-08     0.8444E-17     0.1843E-08     0.1740E+19     0.1533E+11     0.7025E+02     0.1533E+11     0.4082E+03
      10.      2048         6        21     18.00    101.05     0.2091E+00     0.1843E-08     0.0000E+00     0.1843E-08     0.1740E+19     0.1533E+11     0.0000E+00     0.1533E+11     0.4095E+03
      10.      2048         6        21     19.00    113.42     0.2091E+00     0.1843E-08     0.0000E+00     0.1843E-08     0.1740E+19     0.1533E+11     0.0000E+00     0.1533E+11     0.4095E+03
      10.      2048         6        21     20.00    126.14     0.2091E+00     0.1843E-08     0.0000E+00     0.1843E-08     0.1740E+19     0.1533E+11     0.0000E+00     0.1533E+11     0.4095E+03
      10.      2048         6        21     21.00    139.07     0.2091E+00     0.1843E-08     0.0000E+00     0.1843E-08     0.1740E+19     0.1533E+11     0.0000E+00     0.1533E+11     0.4095E+03
      10.      2048         6        21     22.00    152.04     0.2091E+00     0.1843E-08     0.0000E+00     0.1843E-08     0.1740E+19     0.1533E+11     0.0000E+00     0.1533E+11     0.4095E+03
      10.      2048         6        21     23.00    164.67     0.2091E+00     0.1843E-08     0.0000E+00     0.1843E-08     0.1740E+19     0.1533E+11     0.0000E+00     0.1533E+11     0.4095E+03
