45° latitude
0.18     albedo
65km altitude
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
      65.      2000         1         1     12.00     68.05     0.2095E+00     0.6635E-05     0.4666E-05     0.1969E-05     0.8190E+15     0.2594E+11     0.1824E+11     0.7699E+10     0.1458E+00
      65.      2001         1         1     12.00     67.99     0.2095E+00     0.1276E-04     0.8140E-05     0.4615E-05     0.8190E+15     0.4987E+11     0.3183E+11     0.1805E+11     0.5647E+00
      65.      2002         1         1     12.00     68.01     0.2095E+00     0.1275E-04     0.8138E-05     0.4615E-05     0.8190E+15     0.4987E+11     0.3182E+11     0.1805E+11     0.5646E+00
      65.      2003         1         1     12.00     68.03     0.2095E+00     0.1275E-04     0.8136E-05     0.4615E-05     0.8190E+15     0.4986E+11     0.3181E+11     0.1805E+11     0.5645E+00
      65.      2004         1         1     12.00     68.05     0.2095E+00     0.1275E-04     0.8134E-05     0.4615E-05     0.8190E+15     0.4985E+11     0.3180E+11     0.1805E+11     0.5644E+00
      65.      2005         1         1     12.00     67.99     0.2095E+00     0.1276E-04     0.8141E-05     0.4615E-05     0.8190E+15     0.4988E+11     0.3183E+11     0.1805E+11     0.5647E+00
      65.      2006         1         1     12.00     68.01     0.2095E+00     0.1275E-04     0.8139E-05     0.4615E-05     0.8190E+15     0.4987E+11     0.3182E+11     0.1805E+11     0.5646E+00
      65.      2007         1         1     12.00     68.03     0.2095E+00     0.1275E-04     0.8136E-05     0.4615E-05     0.8190E+15     0.4986E+11     0.3181E+11     0.1805E+11     0.5645E+00
      65.      2008         1         1     12.00     68.05     0.2095E+00     0.1275E-04     0.8134E-05     0.4615E-05     0.8190E+15     0.4985E+11     0.3181E+11     0.1805E+11     0.5644E+00
      65.      2009         1         1     12.00     67.98     0.2095E+00     0.1276E-04     0.8141E-05     0.4615E-05     0.8190E+15     0.4988E+11     0.3183E+11     0.1804E+11     0.5647E+00
      65.      2010         1         1     12.00     68.00     0.2095E+00     0.1275E-04     0.8139E-05     0.4615E-05     0.8190E+15     0.4987E+11     0.3182E+11     0.1805E+11     0.5646E+00
      65.      2011         1         1     12.00     68.02     0.2095E+00     0.1275E-04     0.8137E-05     0.4615E-05     0.8190E+15     0.4986E+11     0.3181E+11     0.1805E+11     0.5645E+00
      65.      2012         1         1     12.00     68.04     0.2095E+00     0.1275E-04     0.8135E-05     0.4615E-05     0.8190E+15     0.4985E+11     0.3181E+11     0.1805E+11     0.5644E+00
      65.      2013         1         1     12.00     67.98     0.2095E+00     0.1276E-04     0.8142E-05     0.4615E-05     0.8190E+15     0.4988E+11     0.3183E+11     0.1804E+11     0.5647E+00
      65.      2014         1         1     12.00     68.00     0.2095E+00     0.1275E-04     0.8139E-05     0.4615E-05     0.8190E+15     0.4987E+11     0.3182E+11     0.1804E+11     0.5646E+00
      65.      2015         1         1     12.00     68.02     0.2095E+00     0.1275E-04     0.8137E-05     0.4615E-05     0.8190E+15     0.4986E+11     0.3182E+11     0.1805E+11     0.5645E+00
      65.      2016         1         1     12.00     68.04     0.2095E+00     0.1275E-04     0.8135E-05     0.4615E-05     0.8190E+15     0.4985E+11     0.3181E+11     0.1805E+11     0.5644E+00
      65.      2017         1         1     12.00     67.98     0.2095E+00     0.1276E-04     0.8142E-05     0.4615E-05     0.8190E+15     0.4988E+11     0.3184E+11     0.1804E+11     0.5647E+00
      65.      2018         1         1     12.00     68.00     0.2095E+00     0.1275E-04     0.8140E-05     0.4615E-05     0.8190E+15     0.4987E+11     0.3183E+11     0.1804E+11     0.5646E+00
      65.      2019         1         1     12.00     68.02     0.2095E+00     0.1275E-04     0.8138E-05     0.4615E-05     0.8190E+15     0.4986E+11     0.3182E+11     0.1804E+11     0.5645E+00
      65.      2020         1         1     12.00     68.04     0.2095E+00     0.1275E-04     0.8136E-05     0.4615E-05     0.8190E+15     0.4985E+11     0.3181E+11     0.1805E+11     0.5644E+00
      65.      2021         1         1     12.00     67.98     0.2095E+00     0.1276E-04     0.8142E-05     0.4615E-05     0.8190E+15     0.4988E+11     0.3184E+11     0.1804E+11     0.5647E+00
      65.      2022         1         1     12.00     68.00     0.2095E+00     0.1276E-04     0.8140E-05     0.4615E-05     0.8190E+15     0.4987E+11     0.3183E+11     0.1804E+11     0.5646E+00
      65.      2023         1         1     12.00     68.02     0.2095E+00     0.1275E-04     0.8138E-05     0.4615E-05     0.8190E+15     0.4986E+11     0.3182E+11     0.1804E+11     0.5645E+00
      65.      2024         1         1     12.00     68.04     0.2095E+00     0.1275E-04     0.8136E-05     0.4615E-05     0.8190E+15     0.4986E+11     0.3181E+11     0.1804E+11     0.5644E+00
      65.      2025         1         1     12.00     67.97     0.2095E+00     0.1276E-04     0.8143E-05     0.4615E-05     0.8190E+15     0.4988E+11     0.3184E+11     0.1804E+11     0.5647E+00
      65.      2026         1         1     12.00     67.99     0.2095E+00     0.1276E-04     0.8141E-05     0.4615E-05     0.8190E+15     0.4987E+11     0.3183E+11     0.1804E+11     0.5646E+00
