45° latitude
0.18     albedo
Year 2038
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
       1.      2038         1         1     12.00     67.99     0.2095E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5050E+19     0.0000E+00     0.0000E+00     0.0000E+00     0.3395E+03
       4.      2038         1         1     12.00     67.99     0.2098E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3630E+19     0.0000E+00     0.0000E+00     0.0000E+00     0.3395E+03
       7.      2038         1         1     12.00     67.99     0.2090E+00     0.1792E-11     0.2151E-19     0.1792E-11     0.2550E+19     0.2186E+08     0.2624E+00     0.2186E+08     0.3395E+03
      10.      2038         1         1     12.00     67.99     0.2091E+00     0.7048E-09     0.1566E-16     0.7048E-09     0.1740E+19     0.5864E+10     0.1303E+03     0.5864E+10     0.3394E+03
      13.      2038         1         1     12.00     67.99     0.2093E+00     0.4378E-07     0.2181E-14     0.4378E-07     0.1120E+19     0.2342E+12     0.1167E+05     0.2342E+12     0.3381E+03
      16.      2038         1         1     12.00     67.99     0.2098E+00     0.6280E-06     0.8568E-13     0.6280E-06     0.6880E+18     0.2060E+13     0.2810E+06     0.2060E+13     0.3253E+03
      19.      2038         1         1     12.00     67.99     0.2090E+00     0.2554E-05     0.1021E-11     0.2554E-05     0.4180E+18     0.5108E+13     0.2042E+07     0.5108E+13     0.2853E+03
      22.      2038         1         1     12.00     67.99     0.2098E+00     0.4640E-05     0.5361E-11     0.4640E-05     0.2580E+18     0.5708E+13     0.6594E+07     0.5708E+13     0.2250E+03
      25.      2038         1         1     12.00     67.99     0.2092E+00     0.7060E-05     0.2349E-10     0.7060E-05     0.1600E+18     0.5401E+13     0.1797E+08     0.5401E+13     0.1631E+03
      30.      2038         1         1     12.00     67.99     0.2093E+00     0.9674E-05     0.1859E-09     0.9674E-05     0.7430E+17     0.3434E+13     0.6600E+08     0.3434E+13     0.8096E+02
      35.      2038         1         1     12.00     67.99     0.2090E+00     0.8964E-05     0.1183E-08     0.8963E-05     0.3470E+17     0.1488E+13     0.1964E+09     0.1488E+13     0.3522E+02
      40.      2038         1         1     12.00     67.99     0.2096E+00     0.7782E-05     0.7208E-08     0.7775E-05     0.1700E+17     0.6311E+12     0.5845E+09     0.6305E+12     0.1553E+02
      45.      2038         1         1     12.00     67.99     0.2094E+00     0.6525E-05     0.3617E-07     0.6489E-05     0.8920E+16     0.2780E+12     0.1541E+10     0.2764E+12     0.7103E+01
      50.      2038         1         1     12.00     67.99     0.2095E+00     0.5456E-05     0.1671E-06     0.5289E-05     0.4840E+16     0.1260E+12     0.3861E+10     0.1222E+12     0.3399E+01
      55.      2038         1         1     12.00     67.99     0.2096E+00     0.4713E-05     0.6484E-06     0.4065E-05     0.2620E+16     0.5892E+11     0.8105E+10     0.5081E+11     0.1791E+01
      60.      2038         1         1     12.00     67.99     0.2092E+00     0.6695E-05     0.2293E-05     0.4401E-05     0.1500E+16     0.4800E+11     0.1644E+11     0.3156E+11     0.1026E+01
      65.      2038         1         1     12.00     67.99     0.2095E+00     0.1276E-04     0.8142E-05     0.4615E-05     0.8190E+15     0.4988E+11     0.3183E+11     0.1804E+11     0.5646E+00
      70.      2038         1         1     12.00     67.99     0.2094E+00     0.4066E-04     0.3479E-04     0.5873E-05     0.4230E+15     0.8214E+11     0.7028E+11     0.1186E+11     0.2867E+00
