-60° latitude
0.15     albedo
50km altitude
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
      50.      2048         1         1     12.00     36.99     0.2095E+00     0.5136E-05     0.2810E-06     0.4855E-05     0.4840E+16     0.1186E+12     0.6491E+10     0.1121E+12     0.3236E+01
      50.      2048         2         1     12.00     42.95     0.2095E+00     0.5204E-05     0.2708E-06     0.4934E-05     0.4840E+16     0.1202E+12     0.6255E+10     0.1140E+12     0.3235E+01
      50.      2048         3         1     12.00     52.83     0.2095E+00     0.5274E-05     0.2444E-06     0.5030E-05     0.4840E+16     0.1218E+12     0.5645E+10     0.1162E+12     0.3230E+01
      50.      2048         4         1     12.00     64.92     0.2095E+00     0.5373E-05     0.1920E-06     0.5181E-05     0.4840E+16     0.1241E+12     0.4434E+10     0.1197E+12     0.3279E+01
      50.      2048         5         1     12.00     75.38     0.2095E+00     0.5224E-05     0.1234E-06     0.5100E-05     0.4840E+16     0.1207E+12     0.2851E+10     0.1178E+12     0.3367E+01
      50.      2048         6         1     12.00     82.20     0.2095E+00     0.4502E-05     0.6331E-07     0.4439E-05     0.4840E+16     0.1040E+12     0.1462E+10     0.1025E+12     0.3500E+01
      50.      2048         7         1     12.00     83.05     0.2095E+00     0.4236E-05     0.5627E-07     0.4179E-05     0.4840E+16     0.9785E+11     0.1300E+10     0.9655E+11     0.3458E+01
      50.      2048         8         1     12.00     77.78     0.2095E+00     0.5010E-05     0.1010E-06     0.4909E-05     0.4840E+16     0.1157E+12     0.2334E+10     0.1134E+12     0.3384E+01
      50.      2048         9         1     12.00     67.92     0.2095E+00     0.5357E-05     0.1746E-06     0.5183E-05     0.4840E+16     0.1238E+12     0.4034E+10     0.1197E+12     0.3263E+01
      50.      2048        10         1     12.00     56.47     0.2095E+00     0.5283E-05     0.2314E-06     0.5052E-05     0.4840E+16     0.1220E+12     0.5345E+10     0.1167E+12     0.3213E+01
      50.      2048        11         1     12.00     45.36     0.2095E+00     0.5189E-05     0.2638E-06     0.4926E-05     0.4840E+16     0.1199E+12     0.6095E+10     0.1138E+12     0.3244E+01
      50.      2048        12         1     12.00     38.09     0.2095E+00     0.5141E-05     0.2785E-06     0.4863E-05     0.4840E+16     0.1188E+12     0.6432E+10     0.1123E+12     0.3247E+01
