75° latitude
0.45     albedo
40km altitude
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
      40.      2048         1         1     12.00     98.02     0.2096E+00     0.2902E-05     0.0000E+00     0.2902E-05     0.1700E+17     0.2353E+12     0.0000E+00     0.2353E+12     0.7433E+01
      40.      2048         2         1     12.00     92.15     0.2096E+00     0.2783E-05     0.8559E-09     0.2783E-05     0.1700E+17     0.2257E+12     0.6942E+08     0.2257E+12     0.6965E+01
      40.      2048         3         1     12.00     82.24     0.2096E+00     0.3218E-05     0.2287E-08     0.3216E-05     0.1700E+17     0.2610E+12     0.1854E+09     0.2608E+12     0.9806E+01
      40.      2048         4         1     12.00     70.08     0.2096E+00     0.7027E-05     0.6803E-08     0.7021E-05     0.1700E+17     0.5699E+12     0.5517E+09     0.5694E+12     0.1444E+02
      40.      2048         5         1     12.00     59.62     0.2096E+00     0.8139E-05     0.9758E-08     0.8129E-05     0.1700E+17     0.6601E+12     0.7914E+09     0.6593E+12     0.1550E+02
      40.      2048         6         1     12.00     52.80     0.2096E+00     0.8878E-05     0.1173E-07     0.8866E-05     0.1700E+17     0.7200E+12     0.9509E+09     0.7191E+12     0.1633E+02
      40.      2048         7         1     12.00     51.95     0.2096E+00     0.8982E-05     0.1197E-07     0.8970E-05     0.1700E+17     0.7284E+12     0.9707E+09     0.7275E+12     0.1644E+02
      40.      2048         8         1     12.00     57.24     0.2096E+00     0.8447E-05     0.1051E-07     0.8436E-05     0.1700E+17     0.6850E+12     0.8525E+09     0.6842E+12     0.1580E+02
      40.      2048         9         1     12.00     67.08     0.2096E+00     0.7609E-05     0.7904E-08     0.7601E-05     0.1700E+17     0.6171E+12     0.6410E+09     0.6164E+12     0.1497E+02
      40.      2048        10         1     12.00     78.58     0.2096E+00     0.5853E-05     0.4487E-08     0.5848E-05     0.1700E+17     0.4746E+12     0.3639E+09     0.4743E+12     0.1299E+02
      40.      2048        11         1     12.00     89.78     0.2096E+00     0.3296E-05     0.1315E-08     0.3295E-05     0.1700E+17     0.2673E+12     0.1066E+09     0.2672E+12     0.8924E+01
      40.      2048        12         1     12.00     96.97     0.2096E+00     0.2900E-05     0.0000E+00     0.2900E-05     0.1700E+17     0.2352E+12     0.0000E+00     0.2352E+12     0.7426E+01
