-90° latitude
0.75     albedo
19km altitude
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
      19.      2000         1         1     12.00     66.95     0.2090E+00     0.1158E-07     0.8058E-14     0.1158E-07     0.4180E+18     0.2317E+11     0.1612E+05     0.2317E+11     0.2905E+02
      19.      2001         1         1     12.00     67.02     0.2090E+00     0.1672E-06     0.9865E-13     0.1672E-06     0.4180E+18     0.3343E+12     0.1973E+06     0.3343E+12     0.1486E+03
      19.      2002         1         1     12.00     67.00     0.2090E+00     0.2313E-06     0.1344E-12     0.2313E-06     0.4180E+18     0.4627E+12     0.2688E+06     0.4627E+12     0.1610E+03
      19.      2003         1         1     12.00     66.98     0.2090E+00     0.2812E-06     0.1624E-12     0.2812E-06     0.4180E+18     0.5624E+12     0.3248E+06     0.5624E+12     0.1680E+03
      19.      2004         1         1     12.00     66.96     0.2090E+00     0.3239E-06     0.1864E-12     0.3239E-06     0.4180E+18     0.6479E+12     0.3728E+06     0.6479E+12     0.1725E+03
      19.      2005         1         1     12.00     67.02     0.2090E+00     0.3627E-06     0.2078E-12     0.3627E-06     0.4180E+18     0.7254E+12     0.4157E+06     0.7254E+12     0.1756E+03
      19.      2006         1         1     12.00     67.00     0.2090E+00     0.3981E-06     0.2278E-12     0.3981E-06     0.4180E+18     0.7962E+12     0.4555E+06     0.7962E+12     0.1779E+03
      19.      2007         1         1     12.00     66.98     0.2090E+00     0.4312E-06     0.2464E-12     0.4312E-06     0.4180E+18     0.8623E+12     0.4927E+06     0.8623E+12     0.1798E+03
      19.      2008         1         1     12.00     66.96     0.2090E+00     0.4623E-06     0.2639E-12     0.4623E-06     0.4180E+18     0.9246E+12     0.5279E+06     0.9246E+12     0.1813E+03
      19.      2009         1         1     12.00     67.02     0.2090E+00     0.4920E-06     0.2802E-12     0.4920E-06     0.4180E+18     0.9840E+12     0.5604E+06     0.9840E+12     0.1826E+03
      19.      2010         1         1     12.00     67.00     0.2090E+00     0.5200E-06     0.2960E-12     0.5200E-06     0.4180E+18     0.1040E+13     0.5920E+06     0.1040E+13     0.1837E+03
      19.      2011         1         1     12.00     66.98     0.2090E+00     0.5467E-06     0.3111E-12     0.5467E-06     0.4180E+18     0.1093E+13     0.6222E+06     0.1093E+13     0.1847E+03
      19.      2012         1         1     12.00     66.96     0.2090E+00     0.5723E-06     0.3256E-12     0.5723E-06     0.4180E+18     0.1145E+13     0.6511E+06     0.1145E+13     0.1855E+03
      19.      2013         1         1     12.00     67.02     0.2090E+00     0.5970E-06     0.3389E-12     0.5970E-06     0.4180E+18     0.1194E+13     0.6778E+06     0.1194E+13     0.1863E+03
      19.      2014         1         1     12.00     67.00     0.2090E+00     0.6205E-06     0.3522E-12     0.6205E-06     0.4180E+18     0.1241E+13     0.7044E+06     0.1241E+13     0.1869E+03
      19.      2015         1         1     12.00     66.98     0.2090E+00     0.6430E-06     0.3650E-12     0.6430E-06     0.4180E+18     0.1286E+13     0.7301E+06     0.1286E+13     0.1874E+03
      19.      2016         1         1     12.00     66.96     0.2090E+00     0.6647E-06     0.3774E-12     0.6647E-06     0.4180E+18     0.1329E+13     0.7547E+06     0.1329E+13     0.1879E+03
      19.      2017         1         1     12.00     67.03     0.2090E+00     0.6858E-06     0.3886E-12     0.6858E-06     0.4180E+18     0.1372E+13     0.7772E+06     0.1372E+13     0.1884E+03
      19.      2018         1         1     12.00     67.01     0.2090E+00     0.7059E-06     0.4000E-12     0.7059E-06     0.4180E+18     0.1412E+13     0.8001E+06     0.1412E+13     0.1887E+03
      19.      2019         1         1     12.00     66.99     0.2090E+00     0.7252E-06     0.4111E-12     0.7252E-06     0.4180E+18     0.1450E+13     0.8222E+06     0.1450E+13     0.1891E+03
      19.      2020         1         1     12.00     66.97     0.2090E+00     0.7439E-06     0.4217E-12     0.7439E-06     0.4180E+18     0.1488E+13     0.8435E+06     0.1488E+13     0.1894E+03
      19.      2021         1         1     12.00     67.03     0.2090E+00     0.7620E-06     0.4313E-12     0.7620E-06     0.4180E+18     0.1524E+13     0.8625E+06     0.1524E+13     0.1897E+03
      19.      2022         1         1     12.00     67.01     0.2090E+00     0.7793E-06     0.4412E-12     0.7793E-06     0.4180E+18     0.1559E+13     0.8823E+06     0.1559E+13     0.1900E+03
      19.      2023         1         1     12.00     66.99     0.2090E+00     0.7960E-06     0.4507E-12     0.7960E-06     0.4180E+18     0.1592E+13     0.9014E+06     0.1592E+13     0.1902E+03
      19.      2024         1         1     12.00     66.97     0.2090E+00     0.8120E-06     0.4599E-12     0.8120E-06     0.4180E+18     0.1624E+13     0.9199E+06     0.1624E+13     0.1904E+03
      19.      2025         1         1     12.00     67.03     0.2090E+00     0.8276E-06     0.4680E-12     0.8276E-06     0.4180E+18     0.1655E+13     0.9360E+06     0.1655E+13     0.1907E+03
      19.      2026         1         1     12.00     67.01     0.2090E+00     0.8425E-06     0.4766E-12     0.8425E-06     0.4180E+18     0.1685E+13     0.9531E+06     0.1685E+13     0.1909E+03
      19.      2027         1         1     12.00     66.99     0.2090E+00     0.8568E-06     0.4848E-12     0.8568E-06     0.4180E+18     0.1714E+13     0.9697E+06     0.1714E+13     0.1911E+03
      19.      2028         1         1     12.00     66.97     0.2090E+00     0.8706E-06     0.4928E-12     0.8706E-06     0.4180E+18     0.1741E+13     0.9856E+06     0.1741E+13     0.1912E+03
      19.      2029         1         1     12.00     67.03     0.2090E+00     0.8840E-06     0.4996E-12     0.8840E-06     0.4180E+18     0.1768E+13     0.9991E+06     0.1768E+13     0.1915E+03
      19.      2030         1         1     12.00     67.01     0.2090E+00     0.8968E-06     0.5069E-12     0.8968E-06     0.4180E+18     0.1794E+13     0.1014E+07     0.1794E+13     0.1916E+03
      19.      2031         1         1     12.00     66.99     0.2090E+00     0.9091E-06     0.5141E-12     0.9091E-06     0.4180E+18     0.1818E+13     0.1028E+07     0.1818E+13     0.1917E+03
      19.      2032         1         1     12.00     66.97     0.2090E+00     0.9209E-06     0.5209E-12     0.9209E-06     0.4180E+18     0.1842E+13     0.1042E+07     0.1842E+13     0.1918E+03
      19.      2033         1         1     12.00     67.04     0.2090E+00     0.9323E-06     0.5266E-12     0.9323E-06     0.4180E+18     0.1865E+13     0.1053E+07     0.1865E+13     0.1920E+03
      19.      2034         1         1     12.00     67.02     0.2090E+00     0.9432E-06     0.5329E-12     0.9432E-06     0.4180E+18     0.1886E+13     0.1066E+07     0.1886E+13     0.1921E+03
      19.      2035         1         1     12.00     67.00     0.2090E+00     0.9537E-06     0.5390E-12     0.9537E-06     0.4180E+18     0.1907E+13     0.1078E+07     0.1907E+13     0.1922E+03
