07km altitude
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
       7.      2000         1         1     12.00     63.05     0.2090E+00     0.4564E-15     0.8190E-23     0.4564E-15     0.2550E+19     0.5568E+04     0.9992E-04     0.5568E+04     0.1358E+02
       7.      2001         1         1     12.00     62.99     0.2090E+00     0.6070E-12     0.8758E-20     0.6070E-12     0.2550E+19     0.7405E+07     0.1068E+00     0.7405E+07     0.2468E+03
       7.      2002         1         1     12.00     63.01     0.2090E+00     0.8140E-12     0.1153E-19     0.8140E-12     0.2550E+19     0.9931E+07     0.1406E+00     0.9931E+07     0.2758E+03
       7.      2003         1         1     12.00     63.03     0.2090E+00     0.9595E-12     0.1349E-19     0.9595E-12     0.2550E+19     0.1171E+08     0.1646E+00     0.1171E+08     0.2904E+03
       7.      2004         1         1     12.00     63.05     0.2090E+00     0.1078E-11     0.1508E-19     0.1078E-11     0.2550E+19     0.1315E+08     0.1839E+00     0.1315E+08     0.3002E+03
       7.      2005         1         1     12.00     62.99     0.2090E+00     0.1181E-11     0.1647E-19     0.1181E-11     0.2550E+19     0.1440E+08     0.2009E+00     0.1440E+08     0.3074E+03
       7.      2006         1         1     12.00     63.01     0.2090E+00     0.1273E-11     0.1770E-19     0.1273E-11     0.2550E+19     0.1553E+08     0.2160E+00     0.1553E+08     0.3132E+03
       7.      2007         1         1     12.00     63.03     0.2090E+00     0.1357E-11     0.1883E-19     0.1357E-11     0.2550E+19     0.1656E+08     0.2297E+00     0.1656E+08     0.3179E+03
       7.      2008         1         1     12.00     63.05     0.2090E+00     0.1436E-11     0.1988E-19     0.1436E-11     0.2550E+19     0.1752E+08     0.2426E+00     0.1752E+08     0.3219E+03
       7.      2009         1         1     12.00     62.98     0.2090E+00     0.1511E-11     0.2090E-19     0.1511E-11     0.2550E+19     0.1843E+08     0.2550E+00     0.1843E+08     0.3251E+03
       7.      2010         1         1     12.00     63.00     0.2090E+00     0.1581E-11     0.2184E-19     0.1581E-11     0.2550E+19     0.1929E+08     0.2664E+00     0.1929E+08     0.3282E+03
       7.      2011         1         1     12.00     63.02     0.2090E+00     0.1649E-11     0.2273E-19     0.1649E-11     0.2550E+19     0.2011E+08     0.2774E+00     0.2011E+08     0.3309E+03
       7.      2012         1         1     12.00     63.04     0.2090E+00     0.1713E-11     0.2359E-19     0.1713E-11     0.2550E+19     0.2090E+08     0.2878E+00     0.2090E+08     0.3333E+03
       7.      2013         1         1     12.00     62.98     0.2090E+00     0.1776E-11     0.2445E-19     0.1776E-11     0.2550E+19     0.2166E+08     0.2983E+00     0.2166E+08     0.3353E+03
       7.      2014         1         1     12.00     63.00     0.2090E+00     0.1836E-11     0.2525E-19     0.1836E-11     0.2550E+19     0.2240E+08     0.3080E+00     0.2240E+08     0.3373E+03
       7.      2015         1         1     12.00     63.02     0.2090E+00     0.1894E-11     0.2602E-19     0.1894E-11     0.2550E+19     0.2311E+08     0.3175E+00     0.2311E+08     0.3392E+03
       7.      2016         1         1     12.00     63.04     0.2090E+00     0.1951E-11     0.2677E-19     0.1951E-11     0.2550E+19     0.2381E+08     0.3266E+00     0.2381E+08     0.3410E+03
