45km altitude
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
      45.      2048         1         1     12.00     63.02     0.2094E+00     0.6693E-05     0.4357E-07     0.6649E-05     0.8920E+16     0.2851E+12     0.1856E+10     0.2833E+12     0.7052E+01
      45.      2048         2         1     12.00     57.21     0.2094E+00     0.6835E-05     0.5111E-07     0.6783E-05     0.8920E+16     0.2912E+12     0.2177E+10     0.2890E+12     0.7037E+01
      45.      2048         3         1     12.00     47.31     0.2094E+00     0.6952E-05     0.6189E-07     0.6890E-05     0.8920E+16     0.2961E+12     0.2636E+10     0.2935E+12     0.7104E+01
      45.      2048         4         1     12.00     35.09     0.2094E+00     0.6946E-05     0.7252E-07     0.6874E-05     0.8920E+16     0.2959E+12     0.3089E+10     0.2928E+12     0.7055E+01
      45.      2048         5         1     12.00     24.63     0.2094E+00     0.6921E-05     0.7834E-07     0.6842E-05     0.8920E+16     0.2948E+12     0.3337E+10     0.2915E+12     0.7083E+01
      45.      2048         6         1     12.00     17.81     0.2094E+00     0.6904E-05     0.8131E-07     0.6823E-05     0.8920E+16     0.2941E+12     0.3464E+10     0.2907E+12     0.7040E+01
      45.      2048         7         1     12.00     16.97     0.2094E+00     0.6915E-05     0.8141E-07     0.6834E-05     0.8920E+16     0.2946E+12     0.3468E+10     0.2911E+12     0.7058E+01
      45.      2048         8         1     12.00     22.27     0.2094E+00     0.6909E-05     0.7977E-07     0.6829E-05     0.8920E+16     0.2943E+12     0.3398E+10     0.2909E+12     0.7041E+01
      45.      2048         9         1     12.00     32.08     0.2094E+00     0.6964E-05     0.7467E-07     0.6889E-05     0.8920E+16     0.2967E+12     0.3181E+10     0.2935E+12     0.7087E+01
      45.      2048        10         1     12.00     43.63     0.2094E+00     0.6953E-05     0.6578E-07     0.6888E-05     0.8920E+16     0.2962E+12     0.2802E+10     0.2934E+12     0.7060E+01
      45.      2048        11         1     12.00     54.88     0.2094E+00     0.6908E-05     0.5442E-07     0.6853E-05     0.8920E+16     0.2943E+12     0.2318E+10     0.2919E+12     0.7055E+01
      45.      2048        12         1     12.00     62.01     0.2094E+00     0.6768E-05     0.4505E-07     0.6723E-05     0.8920E+16     0.2883E+12     0.1919E+10     0.2864E+12     0.7071E+01
