45km altitude
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
      45.      2048         6        21      0.00    116.55     0.2094E+00     0.6188E-05     0.0000E+00     0.6188E-05     0.8920E+16     0.2636E+12     0.0000E+00     0.2636E+12     0.1028E+02
      45.      2048         6        21      1.00    115.12     0.2094E+00     0.6188E-05     0.0000E+00     0.6188E-05     0.8920E+16     0.2636E+12     0.0000E+00     0.2636E+12     0.1028E+02
      45.      2048         6        21      2.00    110.84     0.2094E+00     0.6188E-05     0.0000E+00     0.6188E-05     0.8920E+16     0.2636E+12     0.0000E+00     0.2636E+12     0.1028E+02
      45.      2048         6        21      3.00    104.20     0.2094E+00     0.6188E-05     0.0000E+00     0.6188E-05     0.8920E+16     0.2636E+12     0.0000E+00     0.2636E+12     0.1028E+02
      45.      2048         6        21      4.00     95.79     0.2094E+00     0.6188E-05     0.0000E+00     0.6188E-05     0.8920E+16     0.2636E+12     0.0000E+00     0.2636E+12     0.1028E+02
      45.      2048         6        21      5.00     86.10     0.2094E+00     0.6212E-05     0.1227E-07     0.6199E-05     0.8920E+16     0.2646E+12     0.5227E+09     0.2641E+12     0.1020E+02
      45.      2048         6        21      6.00     75.54     0.2094E+00     0.6302E-05     0.2262E-07     0.6279E-05     0.8920E+16     0.2684E+12     0.9636E+09     0.2675E+12     0.9183E+01
      45.      2048         6        21      7.00     64.42     0.2094E+00     0.6473E-05     0.3419E-07     0.6439E-05     0.8920E+16     0.2758E+12     0.1457E+10     0.2743E+12     0.7767E+01
      45.      2048         6        21      8.00     53.00     0.2094E+00     0.6693E-05     0.5091E-07     0.6642E-05     0.8920E+16     0.2851E+12     0.2169E+10     0.2830E+12     0.7320E+01
      45.      2048         6        21      9.00     41.55     0.2094E+00     0.6852E-05     0.6523E-07     0.6787E-05     0.8920E+16     0.2919E+12     0.2779E+10     0.2891E+12     0.7167E+01
      45.      2048         6        21     10.00     30.54     0.2094E+00     0.6929E-05     0.7510E-07     0.6854E-05     0.8920E+16     0.2952E+12     0.3199E+10     0.2920E+12     0.7151E+01
      45.      2048         6        21     11.00     21.10     0.2094E+00     0.6941E-05     0.8018E-07     0.6861E-05     0.8920E+16     0.2957E+12     0.3416E+10     0.2923E+12     0.7093E+01
      45.      2048         6        21     12.00     16.56     0.2094E+00     0.6914E-05     0.8151E-07     0.6833E-05     0.8920E+16     0.2945E+12     0.3472E+10     0.2911E+12     0.7055E+01
      45.      2048         6        21     13.00     20.57     0.2094E+00     0.6874E-05     0.8043E-07     0.6793E-05     0.8920E+16     0.2928E+12     0.3426E+10     0.2894E+12     0.7029E+01
      45.      2048         6        21     14.00     29.82     0.2094E+00     0.6819E-05     0.7543E-07     0.6743E-05     0.8920E+16     0.2905E+12     0.3213E+10     0.2873E+12     0.7023E+01
      45.      2048         6        21     15.00     40.78     0.2094E+00     0.6762E-05     0.6703E-07     0.6695E-05     0.8920E+16     0.2881E+12     0.2855E+10     0.2852E+12     0.6927E+01
      45.      2048         6        21     16.00     52.21     0.2094E+00     0.6709E-05     0.5649E-07     0.6652E-05     0.8920E+16     0.2858E+12     0.2406E+10     0.2834E+12     0.6970E+01
      45.      2048         6        21     17.00     63.65     0.2094E+00     0.6638E-05     0.4337E-07     0.6595E-05     0.8920E+16     0.2828E+12     0.1847E+10     0.2810E+12     0.6989E+01
      45.      2048         6        21     18.00     74.80     0.2094E+00     0.6530E-05     0.3022E-07     0.6499E-05     0.8920E+16     0.2782E+12     0.1288E+10     0.2769E+12     0.7112E+01
      45.      2048         6        21     19.00     85.40     0.2094E+00     0.6320E-05     0.1537E-07     0.6304E-05     0.8920E+16     0.2692E+12     0.6547E+09     0.2686E+12     0.7559E+01
      45.      2048         6        21     20.00     95.16     0.2094E+00     0.6189E-05     0.1444E-23     0.6189E-05     0.8920E+16     0.2636E+12     0.6150E-07     0.2636E+12     0.1029E+02
      45.      2048         6        21     21.00    103.68     0.2094E+00     0.6189E-05     0.0000E+00     0.6189E-05     0.8920E+16     0.2636E+12     0.0000E+00     0.2636E+12     0.1029E+02
      45.      2048         6        21     22.00    110.46     0.2094E+00     0.6189E-05     0.0000E+00     0.6189E-05     0.8920E+16     0.2636E+12     0.0000E+00     0.2636E+12     0.1029E+02
      45.      2048         6        21     23.00    114.92     0.2094E+00     0.6189E-05     0.0000E+00     0.6189E-05     0.8920E+16     0.2636E+12     0.0000E+00     0.2636E+12     0.1029E+02
