Year 2034
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
       1.      2034         1         1     12.00     62.99     0.2095E+00     0.1971E-17     0.1072E-25     0.1971E-17     0.5050E+19     0.4751E+02     0.2584E-06     0.4751E+02     0.8138E+02
       4.      2034         1         1     12.00     62.99     0.2098E+00     0.6690E-14     0.6469E-22     0.6690E-14     0.3630E+19     0.1157E+06     0.1119E-02     0.1157E+06     0.8138E+02
       7.      2034         1         1     12.00     62.99     0.2090E+00     0.1363E-11     0.2356E-19     0.1363E-11     0.2550E+19     0.1662E+08     0.2875E+00     0.1662E+08     0.8138E+02
      10.      2034         1         1     12.00     62.99     0.2091E+00     0.1140E-09     0.3664E-17     0.1140E-09     0.1740E+19     0.9481E+09     0.3049E+02     0.9481E+09     0.8137E+02
      13.      2034         1         1     12.00     62.99     0.2093E+00     0.3272E-08     0.2365E-15     0.3272E-08     0.1120E+19     0.1751E+11     0.1265E+04     0.1751E+11     0.8127E+02
      16.      2034         1         1     12.00     62.99     0.2098E+00     0.3270E-07     0.6496E-14     0.3270E-07     0.6880E+18     0.1073E+12     0.2131E+05     0.1073E+12     0.8057E+02
      19.      2034         1         1     12.00     62.99     0.2090E+00     0.1555E-06     0.8984E-13     0.1555E-06     0.4180E+18     0.3110E+12     0.1797E+06     0.3110E+12     0.7824E+02
      22.      2034         1         1     12.00     62.99     0.2098E+00     0.4673E-06     0.7689E-12     0.4673E-06     0.2580E+18     0.5747E+12     0.9457E+06     0.5747E+12     0.7330E+02
      25.      2034         1         1     12.00     62.99     0.2092E+00     0.1038E-05     0.4819E-11     0.1038E-05     0.1600E+18     0.7942E+12     0.3687E+07     0.7942E+12     0.6567E+02
      30.      2034         1         1     12.00     62.99     0.2093E+00     0.2814E-05     0.7179E-10     0.2814E-05     0.7430E+17     0.9991E+12     0.2548E+08     0.9991E+12     0.4900E+02
      35.      2034         1         1     12.00     62.99     0.2090E+00     0.5808E-05     0.9368E-09     0.5807E-05     0.3470E+17     0.9642E+12     0.1555E+09     0.9640E+12     0.3076E+02
      40.      2034         1         1     12.00     62.99     0.2096E+00     0.8055E-05     0.8544E-08     0.8046E-05     0.1700E+17     0.6532E+12     0.6929E+09     0.6525E+12     0.1574E+02
      45.      2034         1         1     12.00     62.99     0.2094E+00     0.6646E-05     0.4301E-07     0.6603E-05     0.8920E+16     0.2831E+12     0.1832E+10     0.2813E+12     0.7056E+01
      50.      2034         1         1     12.00     62.99     0.2095E+00     0.5083E-05     0.1807E-06     0.4902E-05     0.4840E+16     0.1174E+12     0.4174E+10     0.1132E+12     0.3390E+01
      55.      2034         1         1     12.00     62.99     0.2096E+00     0.4413E-05     0.6567E-06     0.3756E-05     0.2620E+16     0.5516E+11     0.8209E+10     0.4695E+11     0.1901E+01
      60.      2034         1         1     12.00     62.99     0.2092E+00     0.6986E-05     0.2447E-05     0.4539E-05     0.1500E+16     0.5009E+11     0.1754E+11     0.3255E+11     0.1162E+01
      65.      2034         1         1     12.00     62.99     0.2095E+00     0.1535E-04     0.9898E-05     0.5455E-05     0.8190E+15     0.6003E+11     0.3870E+11     0.2133E+11     0.6615E+00
      70.      2034         1         1     12.00     62.99     0.2094E+00     0.4914E-04     0.4229E-04     0.6854E-05     0.4230E+15     0.9927E+11     0.8543E+11     0.1385E+11     0.3346E+00
